timestamp,station,device_id,conductivity,temperature,pressure,salinity
2020-01-10 00:12:43,AMIGOS3A,5,1.27132,-2.0169,247.768,15.1361
2020-01-10 00:12:47,AMIGOS3A,7,3.00301,1.0467,753.732,34.6736
2020-01-10 00:12:55,AMIGOS3A,6,2.90883,0.2576,526.198,34.4603
2020-01-10 01:12:43,AMIGOS3A,5,1.27198,-2.0168,247.789,15.1445
2020-01-10 01:12:47,AMIGOS3A,7,3.00299,1.0465,753.738,34.6735
2020-01-10 01:12:55,AMIGOS3A,6,2.9082,0.2517,526.202,34.4588
2020-01-10 02:12:43,AMIGOS3A,5,1.27216,-2.0178,247.801,15.1474
2020-01-10 02:12:47,AMIGOS3A,7,3.00298,1.0464,753.746,34.6737
2020-01-10 02:12:55,AMIGOS3A,6,2.90759,0.2458,526.211,34.4573
2020-01-10 03:12:43,AMIGOS3A,5,1.27254,-2.0178,247.801,15.1522
2020-01-10 03:12:47,AMIGOS3A,7,3.00295,1.0462,753.748,34.6733
2020-01-10 03:12:55,AMIGOS3A,6,2.90697,0.2394,526.212,34.4564
2020-01-10 04:12:43,AMIGOS3A,5,1.2733,-2.0172,247.822,15.1617
2020-01-10 04:12:47,AMIGOS3A,7,3.00302,1.0467,753.755,34.6737
2020-01-10 04:12:55,AMIGOS3A,6,2.90602,0.2303,526.223,34.454
2020-01-10 05:12:43,AMIGOS3A,5,1.27414,-2.0162,247.8,15.1719
2020-01-10 05:12:47,AMIGOS3A,7,3.003,1.0468,753.754,34.6734
2020-01-10 05:12:55,AMIGOS3A,6,2.90825,0.252,526.225,34.4589
2020-01-10 06:12:43,AMIGOS3A,5,1.2753,-2.0148,247.788,15.1863
2020-01-10 06:12:47,AMIGOS3A,7,3.00308,1.0476,753.761,34.6736
2020-01-10 06:12:55,AMIGOS3A,6,2.90644,0.2343,526.228,34.455
2020-01-10 07:12:43,AMIGOS3A,5,1.2759,-2.0147,247.796,15.194
2020-01-10 07:12:47,AMIGOS3A,7,3.00311,1.048,753.768,34.6735
2020-01-10 07:12:55,AMIGOS3A,6,2.90612,0.2314,526.234,34.454
2020-01-10 08:12:43,AMIGOS3A,5,1.27669,-2.0145,247.803,15.2041
2020-01-10 08:12:47,AMIGOS3A,7,3.00317,1.0485,753.766,34.6737
