timestamp,station,device_id,conductivity,temperature,pressure,salinity
2020-01-17 10:19:33,AMIGOS3C,80,3.00658,1.0633,791.787,34.6795
2020-01-17 10:19:40,AMIGOS3C,9,2.7472,-1.1932,318.338,34.0534
2020-01-17 10:19:44,AMIGOS3C,8,2.55278,-2.3272,199.017,32.7034
2020-01-17 11:19:33,AMIGOS3C,80,3.00679,1.065,791.786,34.6804
2020-01-17 11:19:40,AMIGOS3C,9,2.74525,-1.2188,318.338,34.0556
2020-01-17 11:19:44,AMIGOS3C,8,2.55319,-2.3262,199.022,32.7081
2020-01-17 12:19:33,AMIGOS3C,80,3.00675,1.0647,791.79,34.6803
2020-01-17 12:19:40,AMIGOS3C,9,2.74584,-1.2119,318.338,34.056
2020-01-17 12:19:44,AMIGOS3C,8,2.55414,-2.328,199.023,32.7235
2020-01-17 13:19:33,AMIGOS3C,80,3.00668,1.0641,791.787,34.6799
2020-01-17 13:19:40,AMIGOS3C,9,2.75173,-1.1415,318.342,34.0567
2020-01-17 13:19:44,AMIGOS3C,8,2.5547,-2.3274,199.021,32.7308
2020-01-17 14:19:33,AMIGOS3C,80,3.0065,1.0627,791.79,34.6792
2020-01-17 14:19:40,AMIGOS3C,9,2.74808,-1.1873,318.344,34.0586
2020-01-17 14:19:44,AMIGOS3C,8,2.50328,-2.2647,199.02,31.9397
2020-01-17 15:19:33,AMIGOS3C,80,3.00644,1.0623,791.784,34.6789
2020-01-17 15:19:40,AMIGOS3C,9,2.74927,-1.1719,318.339,34.0575
2020-01-17 15:19:44,AMIGOS3C,8,2.49264,-2.2673,199.021,31.793
2020-01-17 16:19:33,AMIGOS3C,80,3.00658,1.0633,791.778,34.6796
2020-01-17 16:19:40,AMIGOS3C,9,2.74994,-1.1642,318.336,34.058
2020-01-17 16:19:44,AMIGOS3C,8,2.48974,-2.2977,199.015,31.7853
2020-01-17 17:19:33,AMIGOS3C,80,3.00653,1.063,791.786,34.6794
2020-01-17 17:19:40,AMIGOS3C,9,2.75201,-1.1389,318.337,34.0575
2020-01-17 17:19:44,AMIGOS3C,8,2.48737,-2.3068,199.014,31.7619
2020-01-17 18:19:33,AMIGOS3C,80,3.00653,1.0629,791.779,34.6794
2020-01-17 18:19:40,AMIGOS3C,9,2.75197,-1.1385,318.334,34.0565
2020-01-17 18:19:44,AMIGOS3C,8,2.48536,-2.3122,199.016,31.7396
2020-01-17 19:19:33,AMIGOS3C,80,3.00667,1.064,791.782,34.68
2020-01-17 19:19:40,AMIGOS3C,9,2.75156,-1.1442,318.334,34.0573
2020-01-17 19:19:44,AMIGOS3C,8,2.48359,-2.3194,199.019,31.7224
2020-01-17 20:19:33,AMIGOS3C,80,3.00673,1.0646,791.781,34.6801
2020-01-17 20:19:40,AMIGOS3C,9,2.75149,-1.1461,318.336,34.0587
2020-01-17 20:19:44,AMIGOS3C,8,2.48181,-2.3268,199.013,31.7056
2020-01-17 21:19:33,AMIGOS3C,80,3.00674,1.0647,791.781,34.6802
2020-01-17 21:19:40,AMIGOS3C,9,2.7446,-1.2279,318.337,34.0572
2020-01-17 21:19:44,AMIGOS3C,8,2.48098,-2.329,199.02,31.6963
2020-01-17 22:19:33,AMIGOS3C,80,3.00672,1.0645,791.781,34.68
2020-01-17 22:19:40,AMIGOS3C,9,2.73224,-1.3715,318.337,34.0508
2020-01-17 22:19:44,AMIGOS3C,8,2.48064,-2.3289,199.014,31.6914
2020-01-17 23:19:33,AMIGOS3C,80,3.0067,1.0643,791.781,34.68
2020-01-17 23:19:40,AMIGOS3C,9,2.73444,-1.3467,318.347,34.0528
2020-01-17 23:19:44,AMIGOS3C,8,2.48014,-2.331,199.017,31.6865
